gene_symbol	x	y	type
0610005C13Rik	-5.370423793792725	-0.6169003844261169	DEG
0610040J01Rik	-4.979305744171143	0.21235615015029907	DEG
0610042G04Rik	-3.453134298324585	4.169126033782959	DEG
1010001N08Rik	-3.2327003479003906	2.968820333480835	DEG
1110002J07Rik	-5.947572231292725	1.792925238609314	DEG
1110028F11Rik	6.532055377960205	-4.077930927276611	DEG
1110032F04Rik	-7.556931972503662	-5.006026744842529	DEG
1500015O10Rik	-2.548128604888916	-2.287938117980957	DEG
1600029I14Rik	-7.272712230682373	-0.8657942414283752	DEG
1700001K19Rik	6.495655536651611	4.055667400360107	DEG
1700003D09Rik	3.104928970336914	2.148259162902832	DEG
1700003E24Rik	3.073554754257202	-6.921192646026611	DEG
1700003I16Rik	1.3143023252487183	5.3015360832214355	DEG
1700003P14Rik	9.837419509887695	-0.5904585123062134	DEG
1700006A11Rik	4.4492669105529785	-7.462584495544434	DNB
1700007H22Rik	5.213984966278076	-1.308781623840332	DEG
1700007K13Rik	-5.796090126037598	-1.4023206233978271	DEG
1700009C05Rik	0.6273882389068604	-7.358338832855225	DNB
1700011H14Rik	-5.366192817687988	-1.2923732995986938	DEG
1700011I03Rik	3.4459469318389893	-6.378087043762207	DEG
1700011M02Rik	0.6785156726837158	-6.351819038391113	DNB
1700012B09Rik	-5.97689151763916	-1.9997520446777344	DEG
1700015F17Rik	5.242692470550537	-6.924778938293457	DNB
1700016F12Rik	-2.822256565093994	5.648093223571777	DEG
1700018G05Rik	4.815308570861816	-6.478598594665527	DEG
1700020D05Rik	2.682162046432495	-6.781948566436768	DEG
1700022A21Rik	3.0373528003692627	3.0164072513580322	DEG
1700023C21Rik	7.112165927886963	-4.173888683319092	DEG
1700025C18Rik	5.932149410247803	5.661833763122559	DEG
1700025D23Rik	3.2104122638702393	-3.8736438751220703	DNB
1700025L06Rik	4.739794731140137	3.4525158405303955	DEG
1700026J12Rik	3.439182758331299	-7.413366317749023	DNB
1700027A15Rik	2.746497869491577	-6.968214511871338	DEG
1700027J07Rik	2.7139618396759033	-3.1826765537261963	DEG
1700029I15Rik	-7.52028751373291	-0.07036814093589783	DEG
1700030C10Rik	-6.517159461975098	2.78472638130188	DEG
1700030L20Rik	2.4157564640045166	-6.30767822265625	DNB
1700031F10Rik	2.332669973373413	-6.3882856369018555	DNB
1700034J05Rik	1.1111538410186768	-5.336493492126465	DNB
1700038P13Rik	-1.6129287481307983	6.968058109283447	DEG
1700039I01Rik	-1.7916018962860107	0.1440221071243286	DEG
1700042G15Rik	2.936943292617798	-4.7501068115234375	DEG
1700048O20Rik	9.442631721496582	2.223604917526245	DEG
1700049L16Rik	4.279463768005371	-7.640917778015137	DNB
1700054O19Rik	-3.984898805618286	4.803510665893555	DEG
1700060C20Rik	2.3822996616363525	-0.10351930558681488	DEG
1700061G19Rik	0.24852149188518524	-6.287923812866211	DEG
1700061N14Rik	3.3597373962402344	-7.413145065307617	DNB
1700066C05Rik	4.857970714569092	4.8119683265686035	DEG
1700071K01Rik	0.8886286020278931	4.781485557556152	DEG
1700080G18Rik	3.910640239715576	7.391495704650879	DEG
1700084M14Rik	2.663907289505005	-6.706998825073242	DEG
1700086O06Rik	2.14003586769104	-0.06137164682149887	DEG
1700092M07Rik	3.7178897857666016	-6.381870746612549	DNB
1700099I09Rik	0.006509981118142605	-4.529662609100342	DNB
1700104B16Rik	6.915535926818848	3.048487424850464	DEG
1700109H08Rik	3.412928342819214	-4.845502853393555	DEG
1700110I01Rik	-3.9615025520324707	6.031027317047119	DEG
1700113H08Rik	3.7442333698272705	-7.15150260925293	DNB
1700123L14Rik	4.440860271453857	-5.062868118286133	DEG
1700126A01Rik	2.279271125793457	-6.211910247802734	DNB
1810011H11Rik	-2.998220443725586	-1.3734087944030762	DEG
1810013A23Rik	-1.8949438333511353	1.5501971244812012	DEG
1810013D15Rik	5.084845066070557	3.622412919998169	DEG
1810021B22Rik	-6.785335540771484	3.393136501312256	DEG
1810041L15Rik	0.7452725172042847	3.6307291984558105	DEG
1810058I24Rik	-0.3184521794319153	0.9783728718757629	DEG
1810058N15Rik	0.17725329101085663	1.8810349702835083	DEG
1810059H22Rik	-0.10922732949256897	2.956876516342163	DEG
2010016I18Rik	2.301466226577759	8.773465156555176	DEG
2010106E10Rik	6.156343936920166	3.057140350341797	DEG
2010110K18Rik	6.2869954109191895	-1.8995290994644165	DEG
2010308F09Rik	-0.9927060008049011	2.121750593185425	DEG
2210011C24Rik	8.338858604431152	-2.5810232162475586	DEG
2310001K24Rik	-6.741937160491943	2.886636972427368	DEG
2310002F09Rik	-3.994004726409912	6.876120567321777	DEG
2310007B03Rik	-5.231454372406006	1.7303493022918701	DEG
2310034O05Rik	2.2575764656066895	1.2373743057250977	DEG
2310040G07Rik	5.84196662902832	-2.436323881149292	DEG
2410017I17Rik	8.698383331298828	-2.1626627445220947	DEG
2410022M11Rik	4.572795867919922	-3.909543514251709	DEG
2410131K14Rik	-9.411739349365234	-0.7490214705467224	DEG
2410141K09Rik	3.520251989364624	-7.432258605957031	DNB
2700022O18Rik	-8.20274829864502	-4.534909248352051	DEG
2810030D12Rik	3.186954975128174	3.393031358718872	DEG
2810040C05Rik	-0.8773046731948853	2.650270462036133	DEG
2810408I11Rik	4.330638885498047	-7.314677715301514	DEG
2810429I04Rik	4.264324188232422	-2.753990411758423	DEG
2810449G22Rik	-3.9141125679016113	-2.0726521015167236	DEG
2810474C18Rik	6.967256546020508	-0.7068320512771606	DEG
